contestant_id,animal_id,total_return_pct,max_drawdown_pct,final_nav
CONTESTANT_A,robot,-0.46%,0.50%,0.9954
CONTESTANT_A,sloth-1,-0.42%,0.58%,0.9958
CONTESTANT_A,sloth-2,-0.41%,0.48%,0.9959
CONTESTANT_A,sloth-3,-0.36%,0.58%,0.9964
CONTESTANT_A,sloth-4,-0.35%,0.39%,0.9965
CONTESTANT_A,rabbit-1,-0.88%,1.15%,0.9912
CONTESTANT_A,rabbit-2,-1.65%,1.69%,0.9835
CONTESTANT_A,turtle,-0.30%,0.46%,0.9970
CONTESTANT_A,koala,-0.31%,0.43%,0.9969
CONTESTANT_B,robot,-0.37%,0.47%,0.9963
CONTESTANT_B,sloth-1,-0.45%,0.58%,0.9955
CONTESTANT_B,sloth-2,-0.31%,0.44%,0.9969
CONTESTANT_B,sloth-3,-0.40%,0.45%,0.9960
CONTESTANT_B,sloth-4,-0.25%,0.39%,0.9975
CONTESTANT_B,rabbit-1,-0.86%,0.97%,0.9914
CONTESTANT_B,rabbit-2,-1.42%,1.56%,0.9858
CONTESTANT_B,turtle,-0.31%,0.44%,0.9969
CONTESTANT_B,koala,-0.46%,0.51%,0.9954
CONTESTANT_C,robot,-0.38%,0.68%,0.9962
CONTESTANT_C,sloth-1,-0.44%,0.71%,0.9956
CONTESTANT_C,sloth-2,-0.33%,0.60%,0.9967
CONTESTANT_C,sloth-3,-0.39%,0.61%,0.9961
CONTESTANT_C,sloth-4,-0.27%,0.60%,0.9973
CONTESTANT_C,rabbit-1,-0.83%,1.06%,0.9917
CONTESTANT_C,rabbit-2,-1.63%,1.63%,0.9837
CONTESTANT_C,turtle,-0.33%,0.58%,0.9967
CONTESTANT_C,koala,-0.36%,0.53%,0.9964
CONTESTANT_D,robot,-0.51%,0.52%,0.9949
CONTESTANT_D,sloth-1,-0.40%,0.40%,0.9960
CONTESTANT_D,sloth-2,-0.45%,0.52%,0.9955
CONTESTANT_D,sloth-3,-0.35%,0.35%,0.9965
CONTESTANT_D,sloth-4,-0.40%,0.52%,0.9960
CONTESTANT_D,rabbit-1,-0.88%,0.88%,0.9912
CONTESTANT_D,rabbit-2,-1.41%,1.63%,0.9859
CONTESTANT_D,turtle,-0.37%,0.46%,0.9963
CONTESTANT_D,koala,-0.53%,0.63%,0.9947
CONTESTANT_E,robot,-0.47%,0.72%,0.9953
CONTESTANT_E,sloth-1,-0.38%,0.67%,0.9962
CONTESTANT_E,sloth-2,-0.42%,0.65%,0.9958
CONTESTANT_E,sloth-3,-0.33%,0.57%,0.9967
CONTESTANT_E,sloth-4,-0.36%,0.65%,0.9964
CONTESTANT_E,rabbit-1,-0.92%,1.16%,0.9908
CONTESTANT_E,rabbit-2,-1.76%,1.88%,0.9824
CONTESTANT_E,turtle,-0.32%,0.54%,0.9968
CONTESTANT_E,koala,-0.21%,0.56%,0.9979
CONTESTANT_F,robot,-0.44%,0.56%,0.9956
CONTESTANT_F,sloth-1,-0.42%,0.52%,0.9958
CONTESTANT_F,sloth-2,-0.38%,0.56%,0.9962
CONTESTANT_F,sloth-3,-0.36%,0.52%,0.9964
CONTESTANT_F,sloth-4,-0.33%,0.52%,0.9967
CONTESTANT_F,rabbit-1,-0.87%,0.96%,0.9913
CONTESTANT_F,rabbit-2,-1.73%,1.79%,0.9827
CONTESTANT_F,turtle,-0.29%,0.51%,0.9971
CONTESTANT_F,koala,-0.41%,0.62%,0.9959
