contestant,animal,first_pos_date,days_with_pos,market_ratio,rebal_cnt,trade_cnt,buy_cnt,sell_cnt,turnover,cost_rmb,net_return
CONTESTANT_A,robot,2026-07-06,40,97.6%,8,64,43,21,1.49x,1239.9,8.65%
CONTESTANT_A,sloth-1,2026-07-13,35,85.4%,7,58,40,18,1.31x,1057.7,6.61%
CONTESTANT_A,sloth-2,2026-07-20,30,73.2%,6,52,37,15,1.20x,962.0,9.25%
CONTESTANT_A,sloth-3,2026-07-27,25,61.0%,5,46,34,12,1.05x,807.5,6.10%
CONTESTANT_A,sloth-4,2026-08-03,20,48.8%,4,40,31,9,0.88x,638.0,1.38%
CONTESTANT_B,robot,2026-07-06,40,97.6%,8,64,43,21,1.44x,1194.8,12.20%
CONTESTANT_B,sloth-1,2026-07-13,35,85.4%,7,58,40,18,1.35x,1100.6,14.38%
CONTESTANT_B,sloth-2,2026-07-20,30,73.2%,6,52,37,15,1.20x,953.8,8.69%
CONTESTANT_B,sloth-3,2026-07-27,25,61.0%,5,46,34,12,1.04x,793.9,4.69%
CONTESTANT_B,sloth-4,2026-08-03,20,48.8%,4,40,31,9,0.89x,643.4,0.11%
CONTESTANT_C,robot,2026-07-06,40,97.6%,8,64,43,21,1.46x,1215.3,6.93%
CONTESTANT_C,sloth-1,2026-07-13,35,85.4%,7,58,40,18,1.35x,1108.0,7.76%
CONTESTANT_C,sloth-2,2026-07-20,30,73.2%,6,52,37,15,1.23x,979.3,8.09%
CONTESTANT_C,sloth-3,2026-07-27,25,61.0%,5,46,34,12,1.05x,801.3,5.65%
CONTESTANT_C,sloth-4,2026-08-03,20,48.8%,4,40,31,9,0.90x,647.6,4.22%
CONTESTANT_D,robot,2026-07-06,40,97.6%,8,64,43,21,1.42x,1177.2,7.67%
CONTESTANT_D,sloth-1,2026-07-13,35,85.4%,7,58,40,18,1.26x,1014.7,7.34%
CONTESTANT_D,sloth-2,2026-07-20,30,73.2%,6,52,37,15,1.15x,904.0,6.40%
CONTESTANT_D,sloth-3,2026-07-27,25,61.0%,5,46,34,12,1.00x,754.0,3.16%
CONTESTANT_D,sloth-4,2026-08-03,20,48.8%,4,40,31,9,0.85x,607.1,0.17%
CONTESTANT_E,robot,2026-07-06,40,97.6%,8,64,43,21,1.54x,1295.4,1.99%
CONTESTANT_E,sloth-1,2026-07-13,35,85.4%,7,58,40,18,1.34x,1093.2,2.75%
CONTESTANT_E,sloth-2,2026-07-20,30,73.2%,6,52,37,15,1.25x,1000.7,5.22%
CONTESTANT_E,sloth-3,2026-07-27,25,61.0%,5,46,34,12,1.08x,831.5,1.98%
CONTESTANT_E,sloth-4,2026-08-03,20,48.8%,4,40,31,9,0.92x,672.0,1.52%
CONTESTANT_F,robot,2026-07-06,40,97.6%,8,64,43,21,1.34x,1087.5,5.27%
CONTESTANT_F,sloth-1,2026-07-13,35,85.4%,7,58,40,18,1.21x,965.2,4.45%
CONTESTANT_F,sloth-2,2026-07-20,30,73.2%,6,52,37,15,1.11x,861.8,5.26%
CONTESTANT_F,sloth-3,2026-07-27,25,61.0%,5,46,34,12,0.99x,742.5,2.27%
CONTESTANT_F,sloth-4,2026-08-03,20,48.8%,4,40,31,9,0.87x,619.8,2.95%
