contestant_id,animal_id,total_return_pct,max_drawdown_pct,final_nav
CONTESTANT_A,robot,8.65%,6.16%,1.0865
CONTESTANT_A,sloth-1,6.61%,5.81%,1.0661
CONTESTANT_A,sloth-2,9.25%,5.71%,1.0925
CONTESTANT_A,sloth-3,6.10%,6.08%,1.0610
CONTESTANT_A,sloth-4,1.38%,5.73%,1.0138
CONTESTANT_A,rabbit-1,13.13%,4.06%,1.1313
CONTESTANT_A,rabbit-2,10.40%,3.91%,1.1040
CONTESTANT_A,turtle,5.72%,6.50%,1.0572
CONTESTANT_A,koala,-10.48%,13.27%,0.8952
CONTESTANT_B,robot,12.20%,5.65%,1.1220
CONTESTANT_B,sloth-1,14.38%,4.28%,1.1438
CONTESTANT_B,sloth-2,8.69%,5.75%,1.0869
CONTESTANT_B,sloth-3,4.69%,5.72%,1.0469
CONTESTANT_B,sloth-4,0.11%,5.61%,1.0011
CONTESTANT_B,rabbit-1,10.76%,5.22%,1.1076
CONTESTANT_B,rabbit-2,8.95%,5.59%,1.0895
CONTESTANT_B,turtle,10.60%,5.50%,1.1060
CONTESTANT_B,koala,-10.22%,13.04%,0.8978
CONTESTANT_C,robot,6.93%,4.66%,1.0693
CONTESTANT_C,sloth-1,7.76%,3.99%,1.0776
CONTESTANT_C,sloth-2,8.09%,3.53%,1.0809
CONTESTANT_C,sloth-3,5.65%,3.05%,1.0565
CONTESTANT_C,sloth-4,4.22%,3.71%,1.0422
CONTESTANT_C,rabbit-1,5.23%,3.46%,1.0523
CONTESTANT_C,rabbit-2,6.74%,3.48%,1.0674
CONTESTANT_C,turtle,6.36%,4.71%,1.0636
CONTESTANT_C,koala,-8.84%,11.47%,0.9116
CONTESTANT_D,robot,7.67%,5.54%,1.0767
CONTESTANT_D,sloth-1,7.34%,3.42%,1.0734
CONTESTANT_D,sloth-2,6.40%,4.55%,1.0640
CONTESTANT_D,sloth-3,3.16%,4.99%,1.0316
CONTESTANT_D,sloth-4,0.17%,4.36%,1.0017
CONTESTANT_D,rabbit-1,12.47%,4.59%,1.1247
CONTESTANT_D,rabbit-2,10.90%,5.23%,1.1090
CONTESTANT_D,turtle,1.51%,4.89%,1.0151
CONTESTANT_D,koala,-13.52%,15.02%,0.8648
CONTESTANT_E,robot,1.99%,4.14%,1.0199
CONTESTANT_E,sloth-1,2.75%,3.41%,1.0275
CONTESTANT_E,sloth-2,5.22%,4.47%,1.0522
CONTESTANT_E,sloth-3,1.98%,3.81%,1.0198
CONTESTANT_E,sloth-4,1.52%,3.98%,1.0152
CONTESTANT_E,rabbit-1,4.90%,3.74%,1.0490
CONTESTANT_E,rabbit-2,3.79%,3.13%,1.0379
CONTESTANT_E,turtle,1.14%,4.64%,1.0114
CONTESTANT_E,koala,2.72%,4.57%,1.0272
CONTESTANT_F,robot,5.27%,2.61%,1.0527
CONTESTANT_F,sloth-1,4.45%,2.78%,1.0445
CONTESTANT_F,sloth-2,5.26%,2.61%,1.0526
CONTESTANT_F,sloth-3,2.27%,1.93%,1.0227
CONTESTANT_F,sloth-4,2.95%,1.83%,1.0295
CONTESTANT_F,rabbit-1,-1.94%,4.94%,0.9806
CONTESTANT_F,rabbit-2,0.73%,2.69%,1.0073
CONTESTANT_F,turtle,5.86%,2.74%,1.0586
CONTESTANT_F,koala,5.10%,4.44%,1.0510
