contestant_id,animal_id,strategy_spec,actual_return_pct,monkey_median_pct,excess_over_monkey_pct,percentile_rank,empirical_p_value,significant_95pct
CONTESTANT_A,robot,P_22_3,8.65%,0.89%,+7.76%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_A,sloth-1,P_22_3,6.61%,0.89%,+5.72%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_A,sloth-2,P_22_3,9.25%,0.89%,+8.36%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_A,sloth-3,P_22_3,6.10%,0.89%,+5.22%,96.9%,0.0310,YES (p < 0.05)
CONTESTANT_A,sloth-4,P_22_3,1.38%,0.89%,+0.49%,57.9%,0.4206,NO
CONTESTANT_A,snail-1,P_22_3,5.59%,0.89%,+4.70%,96.9%,0.0310,YES (p < 0.05)
CONTESTANT_A,snail-2,P_22_3,3.50%,0.89%,+2.61%,83.9%,0.1608,NO
CONTESTANT_A,snail-3,P_22_3,3.85%,0.89%,+2.97%,88.9%,0.1109,NO
CONTESTANT_A,snail-4,P_22_3,2.52%,0.89%,+1.63%,72.9%,0.2707,NO
CONTESTANT_A,rabbit-1,P_22_11,13.13%,0.75%,+12.38%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_A,rabbit-2,P_22_22,10.40%,0.12%,+10.28%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_A,turtle,P_22_1,5.72%,1.02%,+4.71%,96.9%,0.0310,YES (p < 0.05)
CONTESTANT_A,koala,P_22_3,-10.48%,0.89%,-11.37%,0.0%,1.0000,NO
CONTESTANT_A,meerkat-10,P_22_3,2.58%,0.89%,+1.69%,72.9%,0.2707,NO
CONTESTANT_A,meerkat-20,P_22_3,4.65%,0.89%,+3.77%,92.9%,0.0709,NO
CONTESTANT_A,meerkat-30,P_22_3,4.36%,0.89%,+3.47%,91.9%,0.0809,NO
CONTESTANT_A,meerkat-40,P_22_3,3.46%,0.89%,+2.57%,83.9%,0.1608,NO
CONTESTANT_A,meerkat-50,P_22_3,5.77%,0.89%,+4.89%,96.9%,0.0310,YES (p < 0.05)
CONTESTANT_A,meerkat-60,P_22_3,0.50%,0.89%,-0.39%,42.0%,0.5804,NO
CONTESTANT_A,meerkat-70,P_22_3,-4.01%,0.89%,-4.90%,3.0%,0.9700,NO
CONTESTANT_A,meerkat-80,P_22_3,-1.23%,0.89%,-2.12%,22.0%,0.7802,NO
CONTESTANT_A,meerkat-90,P_22_3,-2.01%,0.89%,-2.90%,14.0%,0.8601,NO
CONTESTANT_A,eagle-5-1,P_5_1,12.67%,0.68%,+12.00%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_A,eagle-11-2,P_11_2,14.68%,0.66%,+14.03%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_A,eagle-44-6,P_44_6,9.59%,1.52%,+8.07%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_A,eagle-66-9,P_66_9,6.41%,1.97%,+4.44%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_A,eagle-88-12,P_88_12,6.80%,2.50%,+4.30%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_A,whale-shark,P_123_17,4.61%,3.72%,+0.90%,94.9%,0.0509,NO
CONTESTANT_B,robot,P_22_3,12.20%,0.89%,+11.32%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_B,sloth-1,P_22_3,14.38%,0.89%,+13.49%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_B,sloth-2,P_22_3,8.69%,0.89%,+7.80%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_B,sloth-3,P_22_3,4.69%,0.89%,+3.80%,92.9%,0.0709,NO
CONTESTANT_B,sloth-4,P_22_3,0.11%,0.89%,-0.78%,39.0%,0.6104,NO
CONTESTANT_B,snail-1,P_22_3,11.19%,0.89%,+10.30%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_B,snail-2,P_22_3,6.29%,0.89%,+5.41%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_B,snail-3,P_22_3,7.50%,0.89%,+6.61%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_B,snail-4,P_22_3,6.28%,0.89%,+5.39%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_B,rabbit-1,P_22_11,10.76%,0.75%,+10.01%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_B,rabbit-2,P_22_22,8.95%,0.12%,+8.83%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_B,turtle,P_22_1,10.60%,1.02%,+9.58%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_B,koala,P_22_3,-10.60%,0.89%,-11.48%,0.0%,1.0000,NO
CONTESTANT_B,meerkat-10,P_22_3,6.34%,0.89%,+5.46%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_B,meerkat-20,P_22_3,7.41%,0.89%,+6.53%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_B,meerkat-30,P_22_3,5.17%,0.89%,+4.28%,95.9%,0.0410,YES (p < 0.05)
CONTESTANT_B,meerkat-40,P_22_3,6.76%,0.89%,+5.87%,98.9%,0.0110,YES (p < 0.05)
CONTESTANT_B,meerkat-50,P_22_3,2.45%,0.89%,+1.56%,71.9%,0.2807,NO
CONTESTANT_B,meerkat-60,P_22_3,-1.08%,0.89%,-1.97%,23.0%,0.7702,NO
CONTESTANT_B,meerkat-70,P_22_3,0.44%,0.89%,-0.45%,41.0%,0.5904,NO
CONTESTANT_B,meerkat-80,P_22_3,-2.96%,0.89%,-3.85%,7.0%,0.9301,NO
CONTESTANT_B,meerkat-90,P_22_3,-10.32%,0.89%,-11.21%,0.0%,1.0000,NO
CONTESTANT_B,eagle-5-1,P_5_1,19.71%,0.68%,+19.03%,99.9%,0.0010,YES (p < 0.05)
