strategy_spec,topk,n_drop,description,colony_size,monkey_min,monkey_p05,monkey_median,monkey_mean,monkey_p95,monkey_max,monkey_std
P_22_3,22,3,"Robot, Sloth-1~4, Snail-1~4, Meerkat-10~90, Koala",100,-5.14%,-3.26%,0.89%,0.88%,4.79%,9.62%,2.60%
P_22_11,22,11,Rabbit-1 (半仓换手),100,-5.99%,-4.14%,0.75%,0.49%,4.51%,5.78%,2.60%
P_22_22,22,22,Rabbit-2 (全仓换手),100,-7.93%,-4.17%,0.12%,0.14%,4.95%,7.80%,2.90%
P_22_1,22,1,Turtle (极低换手),100,-5.41%,-3.01%,1.02%,0.91%,4.27%,10.19%,2.50%
P_5_1,5,1,Eagle-5/1 (极端集中组合),100,-18.23%,-10.18%,0.68%,0.15%,11.46%,12.52%,6.16%
P_11_2,11,2,Eagle-11/2 (紧凑半数组合),100,-11.86%,-5.99%,0.66%,0.67%,6.13%,11.50%,3.84%
P_44_6,44,6,Eagle-44/6 (2 倍容量宽度),100,-3.95%,-1.75%,1.52%,1.50%,4.13%,5.19%,1.74%
P_66_9,66,9,Eagle-66/9 (3 倍容量宽度),100,-2.62%,-0.72%,1.97%,1.96%,4.06%,5.80%,1.42%
P_88_12,88,12,Eagle-88/12 (4 倍容量宽度),100,0.48%,0.92%,2.50%,2.57%,4.05%,5.04%,0.94%
P_123_17,123,17,WhaleShark (半池大容量组合),100,1.68%,2.54%,3.72%,3.71%,4.60%,5.27%,0.63%
P_ALL_0,全池,被动,Taotie (全池吞噬被动组合),100,2.32%,2.32%,2.32%,2.32%,2.32%,2.32%,0.00%
