contestant_id,animal_id,total_return_pct,max_drawdown_pct,final_nav,target_holdings_mean,actual_holdings_mean,unaffordable_buy_count,unaffordable_buy_ratio,mean_cash_ratio,max_cash_ratio,final_cash_ratio
CONTESTANT_A,robot,8.65%,6.16%,1.0865,22.0,22.0,0,0.00%,2.15%,6.65%,0.56%
CONTESTANT_A,sloth-1,6.61%,5.81%,1.0661,22.0,19.25,0,0.00%,14.50%,100.00%,0.48%
CONTESTANT_A,sloth-2,9.25%,5.71%,1.0925,22.0,16.5,0,0.00%,27.16%,100.00%,3.11%
CONTESTANT_A,sloth-3,6.10%,6.08%,1.0610,22.0,13.75,0,0.00%,38.92%,100.00%,1.65%
CONTESTANT_A,sloth-4,1.38%,5.73%,1.0138,22.0,11.0,0,0.00%,51.65%,100.00%,1.64%
CONTESTANT_A,snail-1,5.59%,6.67%,1.0559,22.0,22.0,0,0.00%,2.72%,6.93%,0.49%
CONTESTANT_A,snail-2,3.50%,6.67%,1.0350,22.0,22.0,0,0.00%,3.47%,6.93%,1.98%
CONTESTANT_A,snail-3,3.85%,6.67%,1.0385,22.0,22.0,0,0.00%,4.21%,6.93%,2.13%
CONTESTANT_A,snail-4,2.52%,6.67%,1.0252,22.0,22.0,0,0.00%,4.71%,6.93%,1.66%
CONTESTANT_A,rabbit-1,13.13%,4.06%,1.1313,22.0,22.0,0,0.00%,4.30%,6.65%,4.45%
CONTESTANT_A,rabbit-2,10.40%,3.91%,1.1040,22.0,22.0,0,0.00%,5.37%,9.28%,4.72%
CONTESTANT_A,turtle,5.72%,6.50%,1.0572,22.0,22.0,0,0.00%,1.37%,6.65%,0.43%
CONTESTANT_A,koala,-10.48%,13.27%,0.8952,22.0,22.0,0,0.00%,3.07%,9.42%,0.30%
CONTESTANT_A,meerkat-10,2.58%,6.23%,1.0258,22.0,22.0,0,0.00%,1.76%,10.14%,0.97%
CONTESTANT_A,meerkat-20,4.65%,4.21%,1.0465,22.0,22.0,0,0.00%,1.69%,8.19%,1.65%
CONTESTANT_A,meerkat-30,4.36%,2.66%,1.0436,22.0,22.0,0,0.00%,1.75%,9.23%,0.97%
CONTESTANT_A,meerkat-40,3.46%,5.76%,1.0346,22.0,22.0,0,0.00%,1.16%,3.09%,0.54%
CONTESTANT_A,meerkat-50,5.77%,3.13%,1.0577,22.0,22.0,0,0.00%,2.23%,10.83%,1.28%
CONTESTANT_A,meerkat-60,0.50%,5.00%,1.0050,22.0,22.0,0,0.00%,1.88%,6.68%,2.20%
CONTESTANT_A,meerkat-70,-4.01%,6.75%,0.9599,22.0,22.0,0,0.00%,1.54%,6.11%,1.81%
CONTESTANT_A,meerkat-80,-1.23%,5.91%,0.9877,22.0,22.0,0,0.00%,1.89%,5.84%,1.69%
CONTESTANT_A,meerkat-90,-2.01%,5.40%,0.9799,22.0,22.0,0,0.00%,1.99%,7.22%,0.51%
CONTESTANT_A,eagle-5-1,12.67%,8.17%,1.1267,5.0,5.0,0,0.00%,1.37%,3.72%,1.07%
CONTESTANT_A,eagle-11-2,14.68%,6.58%,1.1468,11.0,11.0,0,0.00%,2.22%,6.05%,5.84%
CONTESTANT_A,eagle-44-6,9.59%,3.25%,1.0959,44.0,44.0,0,0.00%,3.00%,10.75%,0.58%
CONTESTANT_A,eagle-66-9,6.41%,2.52%,1.0641,66.0,66.0,0,0.00%,3.53%,14.55%,0.91%
CONTESTANT_A,eagle-88-12,6.80%,2.00%,1.0680,88.0,88.0,0,0.00%,3.88%,14.18%,2.21%
CONTESTANT_A,whale-shark,4.61%,2.56%,1.0461,123.0,123.0,0,0.00%,4.55%,17.48%,2.77%
CONTESTANT_B,robot,12.20%,5.65%,1.1220,22.0,22.0,0,0.00%,2.11%,5.64%,0.23%
CONTESTANT_B,sloth-1,14.38%,4.28%,1.1438,22.0,19.25,0,0.00%,14.42%,100.00%,1.49%
CONTESTANT_B,sloth-2,8.69%,5.75%,1.0869,22.0,16.5,0,0.00%,26.34%,100.00%,0.44%
CONTESTANT_B,sloth-3,4.69%,5.72%,1.0469,22.0,13.75,0,0.00%,38.93%,100.00%,1.86%
CONTESTANT_B,sloth-4,0.11%,5.61%,1.0011,22.0,11.0,0,0.00%,51.39%,100.00%,2.99%
CONTESTANT_B,snail-1,11.19%,5.20%,1.1119,22.0,22.0,0,0.00%,2.50%,5.73%,1.20%
CONTESTANT_B,snail-2,6.29%,5.61%,1.0629,22.0,22.0,0,0.00%,2.76%,5.73%,0.45%
CONTESTANT_B,snail-3,7.50%,5.62%,1.0750,22.0,22.0,0,0.00%,3.30%,5.73%,1.48%
CONTESTANT_B,snail-4,6.28%,5.45%,1.0628,22.0,22.0,0,0.00%,3.83%,5.73%,1.62%
CONTESTANT_B,rabbit-1,10.76%,5.22%,1.1076,22.0,22.0,0,0.00%,3.29%,5.64%,1.62%
CONTESTANT_B,rabbit-2,8.95%,5.59%,1.0895,22.0,22.0,0,0.00%,4.41%,7.07%,1.44%
CONTESTANT_B,turtle,10.60%,5.50%,1.1060,22.0,22.0,0,0.00%,0.94%,5.64%,0.13%
CONTESTANT_B,koala,-10.60%,13.47%,0.8940,22.0,21.88,1,2.27%,3.52%,10.91%,0.77%
CONTESTANT_B,meerkat-10,6.34%,3.65%,1.0634,22.0,22.0,0,0.00%,0.92%,3.54%,0.46%
CONTESTANT_B,meerkat-20,7.41%,3.30%,1.0741,22.0,22.0,0,0.00%,1.22%,4.23%,1.23%
CONTESTANT_B,meerkat-30,5.17%,2.89%,1.0517,22.0,22.0,0,0.00%,1.93%,7.39%,0.68%
