contestant_id,animal_id,strategy_spec,actual_return_pct,monkey_median_pct,excess_over_monkey_pct,percentile_rank,empirical_p_value,significant_95pct
CONTESTANT_A,robot,P_22_3,8.65%,1.07%,+7.58%,99.7%,0.0030,YES (p < 0.05)
CONTESTANT_A,sloth-1,P_22_3,6.61%,1.07%,+5.54%,98.0%,0.0200,YES (p < 0.05)
CONTESTANT_A,sloth-2,P_22_3,9.25%,1.07%,+8.18%,99.8%,0.0020,YES (p < 0.05)
CONTESTANT_A,sloth-3,P_22_3,6.10%,1.07%,+5.03%,97.0%,0.0300,YES (p < 0.05)
CONTESTANT_A,sloth-4,P_22_3,1.38%,1.07%,+0.31%,54.2%,0.4575,NO
CONTESTANT_A,snail-1,P_22_3,5.59%,1.07%,+4.52%,95.4%,0.0460,YES (p < 0.05)
CONTESTANT_A,snail-2,P_22_3,3.50%,1.07%,+2.43%,80.8%,0.1918,NO
CONTESTANT_A,snail-3,P_22_3,3.85%,1.07%,+2.78%,84.5%,0.1548,NO
CONTESTANT_A,snail-4,P_22_3,2.52%,1.07%,+1.45%,68.1%,0.3187,NO
CONTESTANT_A,rabbit-1,P_22_11,13.13%,0.70%,+12.44%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_A,rabbit-2,P_22_22,10.40%,0.03%,+10.38%,99.9%,0.0010,YES (p < 0.05)
CONTESTANT_A,turtle,P_22_1,5.72%,1.21%,+4.51%,95.2%,0.0480,YES (p < 0.05)
CONTESTANT_A,koala,P_22_3,-10.48%,1.07%,-11.55%,0.0%,1.0000,NO
CONTESTANT_A,meerkat-10,P_22_3,2.58%,1.07%,+1.51%,69.1%,0.3087,NO
CONTESTANT_A,meerkat-20,P_22_3,4.65%,1.07%,+3.58%,89.9%,0.1009,NO
CONTESTANT_A,meerkat-30,P_22_3,4.36%,1.07%,+3.29%,88.6%,0.1139,NO
CONTESTANT_A,meerkat-40,P_22_3,3.46%,1.07%,+2.39%,80.6%,0.1938,NO
CONTESTANT_A,meerkat-50,P_22_3,4.69%,1.07%,+3.62%,90.2%,0.0979,NO
CONTESTANT_A,meerkat-60,P_22_3,0.50%,1.07%,-0.57%,41.0%,0.5904,NO
