strategy_spec,topk,n_drop,description,colony_size,monkey_min,monkey_p05,monkey_median,monkey_mean,monkey_p95,monkey_max,monkey_std
P_22_3,22,3,"Robot, Sloth-1~4, Snail-1~4, Meerkat-10~90, Koala",1000,-6.02%,-3.40%,1.07%,1.09%,5.45%,9.62%,2.73%
P_22_11,22,11,Rabbit-1 (半仓换手),1000,-8.09%,-4.04%,0.70%,0.71%,5.75%,11.46%,2.97%
P_22_22,22,22,Rabbit-2 (全仓换手),1000,-9.54%,-4.74%,0.03%,0.02%,4.89%,9.16%,2.96%
P_22_1,22,1,Turtle (极低换手),1000,-7.80%,-3.44%,1.21%,1.13%,5.68%,10.65%,2.79%
P_5_1,5,1,Eagle-5/1 (极端集中组合),1000,-19.93%,-10.22%,0.35%,0.45%,11.05%,25.46%,6.45%
P_11_2,11,2,Eagle-11/2 (紧凑半数组合),1000,-11.86%,-6.09%,0.84%,0.76%,7.45%,15.00%,4.13%
P_44_6,44,6,Eagle-44/6 (2 倍容量宽度),1000,-4.38%,-1.23%,1.59%,1.59%,4.53%,6.64%,1.75%
P_66_9,66,9,Eagle-66/9 (3 倍容量宽度),1000,-2.62%,-0.24%,1.94%,1.97%,4.30%,6.79%,1.37%
P_88_12,88,12,Eagle-88/12 (4 倍容量宽度),1000,-0.47%,0.86%,2.60%,2.54%,4.15%,5.82%,1.01%
P_123_17,123,17,WhaleShark (半池大容量组合),1000,1.28%,2.58%,3.70%,3.70%,4.76%,5.71%,0.67%
P_ALL_0,全池,被动,Taotie (全池吞噬被动组合),1000,2.32%,2.32%,2.32%,2.32%,2.32%,2.32%,0.00%
